ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-28,9836.04297060733,3201.47094186554,6159.079522774956,9836.04297060733,9836.04297060733,-5185.045384247447,-5185.045384247447,-5185.045384247447,-5185.045384247447,-5185.045384247447,-5185.045384247447,0.0,0.0,0.0,4650.997586359883
2020-07-05,9855.550698784084,2747.1558430566224,5548.238104202221,9855.550698784084,9855.550698784084,-5634.543036484934,-5634.543036484934,-5634.543036484934,-5634.543036484934,-5634.543036484934,-5634.543036484934,0.0,0.0,0.0,4221.007662299149
2020-07-12,9875.058426960835,2934.804645185776,5874.425564487828,9875.058426960835,9875.058426960835,-5466.00663103738,-5466.00663103738,-5466.00663103738,-5466.00663103738,-5466.00663103738,-5466.00663103738,0.0,0.0,0.0,4409.051795923455
2020-07-19,9894.566151085466,3753.2686517792645,6445.1091380170055,9894.566151085466,9894.566151085466,-4797.66659214361,-4797.66659214361,-4797.66659214361,-4797.66659214361,-4797.66659214361,-4797.66659214361,0.0,0.0,0.0,5096.899558941856
2020-07-26,9914.073875210099,4536.511397996401,7265.937730661857,9914.073875210099,9914.073875210099,-3987.6819393029855,-3987.6819393029855,-3987.6819393029855,-3987.6819393029855,-3987.6819393029855,-3987.6819393029855,0.0,0.0,0.0,5926.391935907113
2020-08-02,9933.58159933473,5227.933408420288,8070.276521523099,9933.58159933473,9933.58159933473,-3195.854851143915,-3195.854851143915,-3195.854851143915,-3195.854851143915,-3195.854851143915,-3195.854851143915,0.0,0.0,0.0,6737.726748190815
2020-08-09,9953.08932345936,6137.594364047433,9131.848849428821,9953.08932345936,9953.08932345936,-2343.0370752716003,-2343.0370752716003,-2343.0370752716003,-2343.0370752716003,-2343.0370752716003,-2343.0370752716003,0.0,0.0,0.0,7610.05224818776
2020-08-16,9972.597047583991,6990.456666286852,9930.78609269518,9972.597047583991,9972.597047583991,-1462.1130050113045,-1462.1130050113045,-1462.1130050113045,-1462.1130050113045,-1462.1130050113045,-1462.1130050113045,0.0,0.0,0.0,8510.484042572687
2020-08-23,9992.104771708624,7601.270060050793,10562.630018021231,9992.104771708624,9992.104771708624,-895.0569646849372,-895.0569646849372,-895.0569646849372,-895.0569646849372,-895.0569646849372,-895.0569646849372,0.0,0.0,0.0,9097.047807023686
2020-08-30,10011.612495833255,7629.110401446021,10355.479876623196,10011.612495833255,10011.612495833255,-984.7053586322037,-984.7053586322037,-984.7053586322037,-984.7053586322037,-984.7053586322037,-984.7053586322037,0.0,0.0,0.0,9026.907137201051
2020-09-06,10031.120219957887,6900.267384267514,9914.71007437593,10031.120219957887,10031.120219957887,-1589.4013093389992,-1589.4013093389992,-1589.4013093389992,-1589.4013093389992,-1589.4013093389992,-1589.4013093389992,0.0,0.0,0.0,8441.718910618889
